#{"t_start": 1789588117.2260764, "env_id": "None"}
r,l,t
-218.681997,1,3299.570835
152.077375,58,3303.398259
159.59405,59,3306.86366
151.522544,74,3311.157697
131.285109,49,3315.178762
187.102858,94,3321.153893
-99.831441,3,3321.389297
-57.145227,81,3326.088189
123.258165,17,3327.374618
105.35368,10,3328.079043
-45.996009,130,3335.844805
177.93766,129,3343.385135
252.450855,82,3348.769071
176.787616,99,3354.842703
142.207432,87,3361.827205
-36.28915,128,3370.264924
175.552596,86,3375.304888
152.100862,59,3379.256466
141.416893,54,3382.583221
188.966523,71,3386.838548
157.767548,48,3390.700761
-27.229998,130,3399.739375
-100.543397,1,3401.856635
192.155218,108,3409.340776
10.27218,9,3411.916227
230.110463,102,3418.444299
0.176904,95,3423.946925
-100.0765,1,3426.055066
-119.595108,19,3429.199642
159.183716,161,3440.512584
-98.788055,4,3442.755174
-100.458329,1,3444.871328
197.526476,97,3452.300856
177.870706,89,3459.519138
161.941444,97,3465.152829
166.338259,114,3471.760315
193.378836,110,3478.507055
143.673081,63,3482.490375
-100.198259,3,3483.129067
147.617855,99,3489.57727
145.015516,69,3493.863942
135.427944,30,3495.799511
-240.801626,1,3496.02705
1076.856673,1,3496.393805
-98.356459,1,3496.707092
214.189006,118,3503.452302
163.644633,100,3510.1682
182.267794,111,3517.021057
-100.078705,1,3517.247096
193.635594,81,3523.675944
191.179602,93,3529.556664
230.26891,122,3536.942969
145.529259,38,3539.485042
-39.242224,146,3549.838156
-100.156999,3,3550.545499
194.993907,69,3554.55615
167.112299,90,3560.230359
-100.284915,1,3560.357459
245.199306,139,3568.447797
219.316377,122,3577.464792
117.930226,61,3581.528354
-47.59164,2,3583.690298
222.975395,120,3592.624039
-100.196059,2,3592.816489
116.207132,48,3595.96462
222.070222,87,3603.500089
156.017533,84,3609.129593
129.418082,80,3614.320719
-130.655097,2,3614.474491
129.50324,32,3616.603667
178.881668,121,3624.459541
153.185819,90,3629.64787
-98.564433,55,3633.474697
-99.80526,1,3633.653703
173.927078,65,3637.490145
140.148541,45,3641.580789
-100.065672,1,3642.919986
-100.839304,2,3643.951615
-26.52146,1,3646.0653
120.495265,18,3647.336719
99.938456,1,3648.443219
211.307336,157,3658.180878
165.297613,38,3662.448256
200.50552,85,3667.544799
187.355862,97,3674.783296
147.772373,39,3677.23398
-99.993583,1,3677.865216
190.107893,77,3682.652981
169.469617,27,3684.403657
193.615143,118,3691.469836
-99.49854,1,3692.493989
-100.084681,1,3694.594332
-100.059155,1,3695.842239
175.916447,92,3701.683345
-99.96491,1,3702.115762
-100.074208,1,3703.352807
-97.681186,10,3704.52722
-100.097998,1,3704.756121
-99.981704,1,3705.276157
-100.065418,1,3707.043727
-99.796113,1,3708.017547
-99.912481,1,3708.509839
-109.190516,1,3708.627756
-100.092359,1,3708.750711
-89.839988,44,3711.423542
191.950432,67,3715.604249
160.065268,65,3720.083465
178.729053,100,3726.005066
218.739788,215,3740.317375
-97.093014,6,3740.650423
178.477065,99,3746.702305
170.709677,66,3750.820594
223.899948,126,3758.346423
-40.943234,8,3760.848956
127.552782,34,3763.676254
126.859348,26,3765.893588
219.124934,109,3772.145332
-99.551222,1,3772.660929
217.717589,138,3780.824148
-99.903089,1,3781.147659
124.161348,54,3784.687265
195.617508,82,3789.459361
129.953329,27,3791.762784
180.310907,84,3797.056568
109.341603,24,3798.821995
190.415281,102,3804.667872
201.438952,80,3809.281893
-71.492447,55,3812.940258
174.725491,52,3816.110706
223.327026,94,3821.794785
234.13438,107,3828.408467
149.391052,39,3830.655266
231.491648,133,3839.212152
